Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.1-192.168.10.3-53-60832-17,192.168.10.3,60832,192.168.10.1,53,17,5/7/2017 10:33,58590,1,1,45,222.0,45,45,45.0,0.0,222,222,222.0,0.0,4557.091654,34.13551801,58590.0,0.0,58590.0,58590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,17.067759,17.067759,45,222,104.0,102.1909976,10443.0,0,0,0,0,0,0,0,0,1,156.0,45.0,222.0,40,0,0,0,0,0,0,1,45,1,222,-1,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-37174-80-6,172.16.0.1,37174,192.168.10.50,80,6,5/7/2017 10:48,98703783,8,6,339,11595.0,339,0,42.375,119.8545994,5792,0,1932.5,2181.008184,120.9072199,0.141838535,7592598.692,27400000.0,98700000.0,1.0,98700000.0,14100000.0,37300000.0,98700000.0,1.0,37517.0,7503.4,11495.75097,26241.0,14.0,0,0,0,0,264,200,0.081050592,0.060787944,0,5792,795.6,1621.54141,2629396.543,0,0,0,0,1,0,0,0,0,852.4285714,42.375,1932.5,264,0,0,0,0,0,0,8,339,6,11595,274,235,1,32,2008.0,0.0,2008.0,2008.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37182-80-6,172.16.0.1,37182,192.168.10.50,80,6,5/7/2017 10:48,98701718,6,7,389,11595.0,371,0,64.83333333,150.019221,5792,0,1656.428571,2120.732252,121.4163263,0.131709967,8225143.167,28500000.0,98700000.0,4.0,98700000.0,19700000.0,44100000.0,98700000.0,4.0,98700000.0,16500000.0,40300000.0,98700000.0,46.0,0,0,0,0,164,232,0.060789215,0.070920751,0,5792,856.4285714,1665.498942,2773886.725,1,0,0,0,0,0,0,0,1,922.3076923,64.83333333,1656.428571,164,0,0,0,0,0,0,6,389,7,11595,0,235,3,20,10967.0,0.0,10967.0,10967.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37180-80-6,172.16.0.1,37180,192.168.10.50,80,6,5/7/2017 10:48,98703791,7,6,326,11595.0,326,0,46.57142857,123.2164182,5792,0,1932.5,2181.008184,120.7755029,0.131707201,8225315.917,28500000.0,98700000.0,1.0,98700000.0,16400000.0,40300000.0,98700000.0,1.0,37569.0,7513.8,11191.87872,25253.0,9.0,0,0,0,0,232,200,0.070919262,0.060787939,0,5792,851.5,1667.491564,2780528.115,0,0,0,0,1,0,0,0,0,917.0,46.57142857,1932.5,232,0,0,0,0,0,0,7,326,6,11595,251,235,1,32,5.0,0.0,5.0,5.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37186-80-6,172.16.0.1,37186,192.168.10.50,80,6,5/7/2017 10:48,98703857,8,6,412,11595.0,412,0,51.5,145.6639969,5792,0,1932.5,2181.008184,121.6467154,0.141838429,7592604.385,27400000.0,98700000.0,1.0,98700000.0,14100000.0,37300000.0,98700000.0,1.0,39573.0,7914.6,11959.65208,27182.0,46.0,0,0,0,0,264,200,0.081050531,0.060787898,0,5792,800.4666667,1620.182127,2624990.124,0,0,0,0,1,0,0,0,0,857.6428571,51.5,1932.5,264,0,0,0,0,0,0,8,412,6,11595,274,235,1,32,1022.0,0.0,1022.0,1022.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37184-80-6,172.16.0.1,37184,192.168.10.50,80,6,5/7/2017 10:48,98703816,6,7,377,11595.0,359,0,62.83333333,145.1212137,5792,0,1656.428571,2120.732252,121.2921697,0.131707167,8225318.0,28500000.0,98700000.0,1.0,98700000.0,19700000.0,44100000.0,98700000.0,1.0,98700000.0,16500000.0,40300000.0,98700000.0,45.0,0,0,0,0,164,232,0.060787923,0.070919244,0,5792,855.5714286,1665.771049,2774793.187,1,0,0,0,0,0,0,0,1,921.3846154,62.83333333,1656.428571,164,0,0,0,0,0,0,6,377,7,11595,0,235,3,20,11008.0,0.0,11008.0,11008.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37196-80-6,172.16.0.1,37196,192.168.10.50,80,6,5/7/2017 10:48,98703866,8,6,365,11595.0,359,0,45.625,126.640027,5792,0,1932.5,2181.008184,121.1705325,0.141838416,7592605.077,27400000.0,98700000.0,2.0,98700000.0,14100000.0,37300000.0,98700000.0,2.0,34540.0,6908.0,10627.8598,24329.0,46.0,0,0,0,0,252,200,0.081050523,0.060787893,0,5792,797.3333333,1620.937368,2627437.952,0,0,0,0,1,0,0,0,0,854.2857143,45.625,1932.5,252,0,0,0,0,0,0,8,365,6,11595,274,235,2,20,990.0,0.0,990.0,990.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37194-80-6,172.16.0.1,37194,192.168.10.50,80,6,5/7/2017 10:48,98707166,6,6,312,11595.0,312,0,52.0,127.3734666,5792,0,1932.5,2181.008184,120.6295397,0.121571721,8973378.727,29700000.0,98700000.0,1.0,98700000.0,19700000.0,44100000.0,98700000.0,1.0,37871.0,7574.2,11649.63762,26633.0,14.0,0,0,0,0,200,200,0.06078586,0.06078586,0,5792,915.9230769,1717.138339,2948564.077,0,0,0,0,1,0,0,0,1,992.25,52.0,1932.5,200,0,0,0,0,0,0,6,312,6,11595,251,235,1,32,5.0,0.0,5.0,5.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37190-80-6,172.16.0.1,37190,192.168.10.50,80,6,5/7/2017 10:48,98701939,5,8,368,11595.0,356,0,73.6,157.8949018,4344,0,1449.375,1729.380148,121.2032927,0.131709672,8225161.583,28500000.0,98700000.0,4.0,98700000.0,24700000.0,49300000.0,98700000.0,4.0,98700000.0,14100000.0,37300000.0,98700000.0,44.0,0,0,0,0,144,264,0.050657566,0.081052106,0,4344,854.9285714,1458.001713,2125768.995,1,0,0,0,0,0,0,0,1,920.6923077,73.6,1449.375,144,0,0,0,0,0,0,5,368,8,11595,0,235,2,20,10989.0,0.0,10989.0,10989.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37198-80-6,172.16.0.1,37198,192.168.10.50,80,6,5/7/2017 10:48,98704718,5,7,305,11595.0,293,0,61.0,129.7266357,5792,0,1656.428571,2120.732252,120.5616129,0.121574736,8973156.182,29700000.0,98700000.0,4.0,98700000.0,24700000.0,49300000.0,98700000.0,4.0,98700000.0,16500000.0,40300000.0,98700000.0,47.0,0,0,0,0,144,232,0.05065614,0.070918596,0,5792,915.8461538,1716.906464,2947767.808,1,0,0,0,0,0,0,0,1,992.1666667,61.0,1656.428571,144,0,0,0,0,0,0,5,305,7,11595,0,235,2,20,11986.0,0.0,11986.0,11986.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37202-80-6,172.16.0.1,37202,192.168.10.50,80,6,5/7/2017 10:48,98705737,6,7,396,11595.0,378,0,66.0,152.8764207,5792,0,1656.428571,2120.732252,121.4823005,0.131704604,8225478.083,28500000.0,98700000.0,1.0,98700000.0,19700000.0,44100000.0,98700000.0,1.0,98700000.0,16500000.0,40300000.0,98700000.0,51.0,0,0,0,0,164,232,0.06078674,0.070917864,0,5792,856.9285714,1665.343045,2773367.456,1,0,0,0,0,0,0,0,1,922.8461538,66.0,1656.428571,164,0,0,0,0,0,0,6,396,7,11595,0,235,3,20,11986.0,0.0,11986.0,11986.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37200-80-6,172.16.0.1,37200,192.168.10.50,80,6,5/7/2017 10:48,98706775,5,7,313,11595.0,301,0,62.6,133.3034133,5792,0,1656.428571,2120.732252,120.6401486,0.121572202,8973343.182,29700000.0,98700000.0,3.0,98700000.0,24700000.0,49300000.0,98700000.0,189.0,98700000.0,16500000.0,40300000.0,98700000.0,47.0,0,0,0,0,144,232,0.050655084,0.070917118,0,5792,916.4615385,1716.666033,2946942.269,1,0,0,0,0,0,0,0,1,992.8333333,62.6,1656.428571,144,0,0,0,0,0,0,5,313,7,11595,0,235,2,20,11984.0,0.0,11984.0,11984.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37208-80-6,172.16.0.1,37208,192.168.10.50,80,6,5/7/2017 10:48,98707022,7,7,353,11595.0,353,0,50.42857143,133.421459,7240,0,1656.428571,2565.850857,121.0450863,0.141833881,7592847.846,27400000.0,98700000.0,0.0,98700000.0,16400000.0,40300000.0,98700000.0,0.0,38659.0,6443.166667,11298.14575,28027.0,74.0,0,0,0,0,232,232,0.07091694,0.07091694,0,7240,796.5333333,1876.841224,3522532.981,0,0,0,0,1,0,0,0,1,853.4285714,50.42857143,1656.428571,232,0,0,0,0,0,0,7,353,7,11595,274,235,1,32,981.0,0.0,981.0,981.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-57044-80-6,192.168.10.50,80,172.16.0.1,57044,6,5/7/2017 10:48,98356567,7,6,11595,391.0,4344,0,1656.428571,1760.597234,373,0,65.16666667,150.8355617,121.8627324,0.132172161,8196380.583,28300000.0,98200000.0,4.0,98400000.0,16400000.0,40100000.0,98200000.0,49.0,98200000.0,19600000.0,43900000.0,98200000.0,4.0,0,0,0,0,232,164,0.071169625,0.061002536,0,4344,856.1428571,1459.241471,2129385.67,0,0,0,0,1,0,0,0,0,922.0,1656.428571,65.16666667,232,0,0,0,0,0,0,7,11595,6,391,235,229,4,32,10861.0,0.0,10861.0,10861.0,98200000.0,0.0,98200000.0,98200000.0,BENIGN
172.16.0.1-192.168.10.50-37204-80-6,172.16.0.1,37204,192.168.10.50,80,6,5/7/2017 10:48,98707833,8,6,368,11595.0,368,0,46.0,130.1076477,4344,0,1932.5,1754.831473,121.1960554,0.141832716,7592910.231,27400000.0,98700000.0,1.0,98700000.0,14100000.0,37300000.0,98700000.0,1.0,38524.0,7704.8,11900.1603,27227.0,15.0,0,0,0,0,264,200,0.081047266,0.06078545,0,4344,797.5333333,1424.255137,2028502.695,0,0,0,0,1,0,0,0,0,854.5,46.0,1932.5,264,0,0,0,0,0,0,8,368,6,11595,251,235,1,32,996.0,0.0,996.0,996.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37210-80-6,172.16.0.1,37210,192.168.10.50,80,6,5/7/2017 10:48,98704939,6,7,409,11595.0,391,0,68.16666667,158.1827003,4344,0,1656.428571,1760.597234,121.6149883,0.131705669,8225411.583,28500000.0,98700000.0,0.0,98700000.0,19700000.0,44100000.0,98700000.0,0.0,98700000.0,16500000.0,40300000.0,98700000.0,33.0,0,0,0,0,164,232,0.060787232,0.070918437,0,4344,857.8571429,1458.520476,2127281.978,1,0,0,0,0,0,0,0,1,923.8461538,68.16666667,1656.428571,164,0,0,0,0,0,0,6,409,7,11595,0,235,3,20,11001.0,0.0,11001.0,11001.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37212-80-6,172.16.0.1,37212,192.168.10.50,80,6,5/7/2017 10:48,98703934,7,6,370,11595.0,370,0,52.85714286,139.846855,5792,0,1932.5,2179.547086,121.2211055,0.13170701,8225327.833,28500000.0,98700000.0,1.0,98700000.0,16400000.0,40300000.0,98700000.0,1.0,38667.0,7733.4,11920.50151,27317.0,75.0,0,0,0,0,232,200,0.070919159,0.060787851,0,5792,854.6428571,1665.730683,2774658.709,0,0,0,0,1,0,0,0,0,920.3846154,52.85714286,1932.5,232,0,0,0,0,0,0,7,370,6,11595,274,235,1,32,4.0,0.0,4.0,4.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37218-80-6,172.16.0.1,37218,192.168.10.50,80,6,5/7/2017 10:48,98702803,5,7,364,11595.0,352,0,72.8,156.106374,5792,0,1656.428571,2120.732252,121.161706,0.121577094,8972982.091,29700000.0,98700000.0,44.0,98700000.0,24700000.0,49300000.0,98700000.0,986.0,98700000.0,16500000.0,40300000.0,98700000.0,44.0,0,0,0,0,144,232,0.050657123,0.070919972,0,5792,920.3846154,1715.199966,2941910.923,1,0,0,0,0,0,0,0,1,997.0833333,72.8,1656.428571,144,0,0,0,0,0,0,5,364,7,11595,0,235,2,20,11024.0,0.0,11024.0,11024.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-57056-80-6,192.168.10.50,80,172.16.0.1,57056,6,5/7/2017 10:48,98469781,7,5,11595,382.0,5792,0,1656.428571,2425.837852,370,0,76.4,164.154805,121.6312241,0.121864798,8951798.273,29600000.0,98300000.0,2.0,98500000.0,16400000.0,40100000.0,98300000.0,45.0,98300000.0,24600000.0,49200000.0,98300000.0,2.0,0,0,0,0,232,144,0.071087799,0.050776999,0,5792,921.3076923,1906.499733,3634741.231,0,0,0,0,1,0,0,0,0,998.0833333,1656.428571,76.4,232,0,0,0,0,0,0,7,11595,5,382,235,229,4,32,12861.0,0.0,12861.0,12861.0,98300000.0,0.0,98300000.0,98300000.0,BENIGN
172.16.0.1-192.168.10.50-37214-80-6,172.16.0.1,37214,192.168.10.50,80,6,5/7/2017 10:48,98702786,7,7,372,11595.0,348,0,53.14285714,130.0505396,5792,0,1656.428571,2120.732252,121.2427783,0.141839968,7592522.0,27400000.0,98700000.0,1.0,98700000.0,16400000.0,40300000.0,98700000.0,1.0,98700000.0,16500000.0,40300000.0,98700000.0,9.0,0,0,0,0,184,232,0.070919984,0.070919984,0,5792,798.2,1620.31206,2625411.171,1,0,0,0,0,0,0,0,1,855.2142857,53.14285714,1656.428571,184,0,0,0,0,0,0,7,372,7,11595,0,235,4,20,10990.0,0.0,10990.0,10990.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37216-80-6,172.16.0.1,37216,192.168.10.50,80,6,5/7/2017 10:48,98705864,6,6,366,11595.0,366,0,61.0,149.4188743,5792,0,1932.5,2181.008184,121.1782109,0.121573324,8973260.364,29700000.0,98700000.0,1.0,98700000.0,19700000.0,44100000.0,98700000.0,1.0,39510.0,7902.0,11997.79473,27294.0,17.0,0,0,0,0,200,200,0.060786662,0.060786662,0,5792,920.0769231,1715.620318,2943353.077,0,0,0,0,1,0,0,0,1,996.75,61.0,1932.5,200,0,0,0,0,0,0,6,366,6,11595,274,235,1,32,3.0,0.0,3.0,3.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37220-80-6,172.16.0.1,37220,192.168.10.50,80,6,5/7/2017 10:48,98702719,8,5,361,11595.0,361,0,45.125,127.632774,7240,0,2319.0,3331.638186,121.1314148,0.131708631,8225226.583,28500000.0,98700000.0,1.0,98700000.0,14100000.0,37300000.0,98700000.0,1.0,37463.0,9365.75,12356.75973,26218.0,87.0,0,0,0,0,264,168,0.081051465,0.050657166,0,7240,854.0,2169.862704,4708304.154,0,0,0,0,1,0,0,0,0,919.6923077,45.125,2319.0,264,0,0,0,0,0,0,8,361,5,11595,251,235,1,32,988.0,0.0,988.0,988.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37222-80-6,172.16.0.1,37222,192.168.10.50,80,6,5/7/2017 10:48,98703958,7,6,333,11595.0,327,0,47.57142857,123.236706,7240,0,1932.5,2695.639126,120.8462177,0.131706978,8225329.833,28500000.0,98700000.0,1.0,98700000.0,16400000.0,40300000.0,98700000.0,1.0,37661.0,7532.2,11430.87086,26173.0,90.0,0,0,0,0,220,200,0.070919142,0.060787836,0,7240,852.0,1935.180333,3744922.923,0,0,0,0,1,0,0,0,0,917.5384615,47.57142857,1932.5,220,0,0,0,0,0,0,7,333,6,11595,251,235,2,20,2000.0,0.0,2000.0,2000.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37224-80-6,172.16.0.1,37224,192.168.10.50,80,6,5/7/2017 10:48,98703817,6,7,406,11595.0,388,0,67.66666667,156.9581685,5792,0,1656.428571,2120.732252,121.5859768,0.131707166,8225318.083,28500000.0,98700000.0,4.0,98700000.0,19700000.0,44100000.0,98700000.0,4.0,98700000.0,16500000.0,40300000.0,98700000.0,13.0,0,0,0,0,164,232,0.060787923,0.070919243,0,5792,857.6428571,1665.123955,2772637.786,1,0,0,0,0,0,0,0,1,923.6153846,67.66666667,1656.428571,164,0,0,0,0,0,0,6,406,7,11595,0,235,3,20,9998.0,0.0,9998.0,9998.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37232-80-6,172.16.0.1,37232,192.168.10.50,80,6,5/7/2017 10:48,98700813,5,7,307,11595.0,295,0,61.4,130.6208253,4344,0,1656.428571,1947.638216,120.586646,0.121579546,8972801.182,29700000.0,98700000.0,24.0,98700000.0,24700000.0,49300000.0,98700000.0,1003.0,98700000.0,16500000.0,40300000.0,98700000.0,55.0,0,0,0,0,144,232,0.050658144,0.070921402,0,4344,916.0,1611.04164,2595455.167,1,0,0,0,0,0,0,0,1,992.3333333,61.4,1656.428571,144,0,0,0,0,0,0,5,307,7,11595,0,235,2,20,12009.0,0.0,12009.0,12009.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
